image_id,dataset,subject_id,image_path,mask_path,split,domain_role
DRIVE_21_training,DRIVE,21,data\DRIVE\train\images\21_training.tif,data\DRIVE\train\masks\21_manual1.gif,train,source_train
DRIVE_22_training,DRIVE,22,data\DRIVE\train\images\22_training.tif,data\DRIVE\train\masks\22_manual1.gif,train,source_train
DRIVE_23_training,DRIVE,23,data\DRIVE\train\images\23_training.tif,data\DRIVE\train\masks\23_manual1.gif,train,source_train
DRIVE_24_training,DRIVE,24,data\DRIVE\train\images\24_training.tif,data\DRIVE\train\masks\24_manual1.gif,train,source_train
DRIVE_25_training,DRIVE,25,data\DRIVE\train\images\25_training.tif,data\DRIVE\train\masks\25_manual1.gif,train,source_train
DRIVE_26_training,DRIVE,26,data\DRIVE\train\images\26_training.tif,data\DRIVE\train\masks\26_manual1.gif,train,source_train
DRIVE_27_training,DRIVE,27,data\DRIVE\train\images\27_training.tif,data\DRIVE\train\masks\27_manual1.gif,train,source_train
DRIVE_28_training,DRIVE,28,data\DRIVE\train\images\28_training.tif,data\DRIVE\train\masks\28_manual1.gif,train,source_train
DRIVE_29_training,DRIVE,29,data\DRIVE\train\images\29_training.tif,data\DRIVE\train\masks\29_manual1.gif,train,source_train
DRIVE_30_training,DRIVE,30,data\DRIVE\train\images\30_training.tif,data\DRIVE\train\masks\30_manual1.gif,train,source_train
DRIVE_31_training,DRIVE,31,data\DRIVE\train\images\31_training.tif,data\DRIVE\train\masks\31_manual1.gif,train,source_train
DRIVE_32_training,DRIVE,32,data\DRIVE\train\images\32_training.tif,data\DRIVE\train\masks\32_manual1.gif,train,source_train
DRIVE_33_training,DRIVE,33,data\DRIVE\train\images\33_training.tif,data\DRIVE\train\masks\33_manual1.gif,train,source_train
DRIVE_34_training,DRIVE,34,data\DRIVE\train\images\34_training.tif,data\DRIVE\train\masks\34_manual1.gif,train,source_train
DRIVE_35_training,DRIVE,35,data\DRIVE\train\images\35_training.tif,data\DRIVE\train\masks\35_manual1.gif,train,source_train
DRIVE_36_training,DRIVE,36,data\DRIVE\train\images\36_training.tif,data\DRIVE\train\masks\36_manual1.gif,train,source_train
DRIVE_37_training,DRIVE,37,data\DRIVE\train\images\37_training.tif,data\DRIVE\train\masks\37_manual1.gif,train,source_train
DRIVE_38_training,DRIVE,38,data\DRIVE\train\images\38_training.tif,data\DRIVE\train\masks\38_manual1.gif,train,source_train
DRIVE_39_training,DRIVE,39,data\DRIVE\train\images\39_training.tif,data\DRIVE\train\masks\39_manual1.gif,train,source_train
DRIVE_40_training,DRIVE,40,data\DRIVE\train\images\40_training.tif,data\DRIVE\train\masks\40_manual1.gif,train,source_train
DRIVE_01_test,DRIVE,01,data\DRIVE\test\images\01_test.tif,,test,source_test
DRIVE_02_test,DRIVE,02,data\DRIVE\test\images\02_test.tif,,test,source_test
DRIVE_03_test,DRIVE,03,data\DRIVE\test\images\03_test.tif,,test,source_test
DRIVE_04_test,DRIVE,04,data\DRIVE\test\images\04_test.tif,,test,source_test
DRIVE_05_test,DRIVE,05,data\DRIVE\test\images\05_test.tif,,test,source_test
DRIVE_06_test,DRIVE,06,data\DRIVE\test\images\06_test.tif,,test,source_test
DRIVE_07_test,DRIVE,07,data\DRIVE\test\images\07_test.tif,,test,source_test
DRIVE_08_test,DRIVE,08,data\DRIVE\test\images\08_test.tif,,test,source_test
DRIVE_09_test,DRIVE,09,data\DRIVE\test\images\09_test.tif,,test,source_test
DRIVE_10_test,DRIVE,10,data\DRIVE\test\images\10_test.tif,,test,source_test
DRIVE_11_test,DRIVE,11,data\DRIVE\test\images\11_test.tif,,test,source_test
DRIVE_12_test,DRIVE,12,data\DRIVE\test\images\12_test.tif,,test,source_test
DRIVE_13_test,DRIVE,13,data\DRIVE\test\images\13_test.tif,,test,source_test
DRIVE_14_test,DRIVE,14,data\DRIVE\test\images\14_test.tif,,test,source_test
DRIVE_15_test,DRIVE,15,data\DRIVE\test\images\15_test.tif,,test,source_test
DRIVE_16_test,DRIVE,16,data\DRIVE\test\images\16_test.tif,,test,source_test
DRIVE_17_test,DRIVE,17,data\DRIVE\test\images\17_test.tif,,test,source_test
DRIVE_18_test,DRIVE,18,data\DRIVE\test\images\18_test.tif,,test,source_test
DRIVE_19_test,DRIVE,19,data\DRIVE\test\images\19_test.tif,,test,source_test
DRIVE_20_test,DRIVE,20,data\DRIVE\test\images\20_test.tif,,test,source_test
CHASE_Image_01L,CHASE,01L,data\CHASE\target_train\images\Image_01L.jpg,data\CHASE\target_train\masks\Image_01L_mask.png,target_train,target_train
CHASE_Image_01R,CHASE,01R,data\CHASE\target_train\images\Image_01R.jpg,data\CHASE\target_train\masks\Image_01R_mask.png,target_train,target_train
CHASE_Image_02L,CHASE,02L,data\CHASE\target_train\images\Image_02L.jpg,data\CHASE\target_train\masks\Image_02L_mask.png,target_train,target_train
CHASE_Image_02R,CHASE,02R,data\CHASE\target_train\images\Image_02R.jpg,data\CHASE\target_train\masks\Image_02R_mask.png,target_train,target_train
CHASE_Image_03L,CHASE,03L,data\CHASE\target_train\images\Image_03L.jpg,data\CHASE\target_train\masks\Image_03L_mask.png,target_train,target_train
CHASE_Image_03R,CHASE,03R,data\CHASE\target_train\images\Image_03R.jpg,data\CHASE\target_train\masks\Image_03R_mask.png,target_train,target_train
CHASE_Image_04L,CHASE,04L,data\CHASE\target_train\images\Image_04L.jpg,data\CHASE\target_train\masks\Image_04L_mask.png,target_train,target_train
CHASE_Image_04R,CHASE,04R,data\CHASE\target_train\images\Image_04R.jpg,data\CHASE\target_train\masks\Image_04R_mask.png,target_train,target_train
CHASE_Image_05L,CHASE,05L,data\CHASE\target_train\images\Image_05L.jpg,data\CHASE\target_train\masks\Image_05L_mask.png,target_train,target_train
CHASE_Image_05R,CHASE,05R,data\CHASE\target_train\images\Image_05R.jpg,data\CHASE\target_train\masks\Image_05R_mask.png,target_train,target_train
CHASE_Image_06L,CHASE,06L,data\CHASE\target_train\images\Image_06L.jpg,data\CHASE\target_train\masks\Image_06L_mask.png,target_train,target_train
CHASE_Image_06R,CHASE,06R,data\CHASE\target_train\images\Image_06R.jpg,data\CHASE\target_train\masks\Image_06R_mask.png,target_train,target_train
CHASE_Image_07L,CHASE,07L,data\CHASE\target_train\images\Image_07L.jpg,data\CHASE\target_train\masks\Image_07L_mask.png,target_train,target_train
CHASE_Image_07R,CHASE,07R,data\CHASE\target_train\images\Image_07R.jpg,data\CHASE\target_train\masks\Image_07R_mask.png,target_train,target_train
CHASE_Image_08L,CHASE,08L,data\CHASE\target_train\images\Image_08L.jpg,data\CHASE\target_train\masks\Image_08L_mask.png,target_train,target_train
CHASE_Image_08R,CHASE,08R,data\CHASE\target_train\images\Image_08R.jpg,data\CHASE\target_train\masks\Image_08R_mask.png,target_train,target_train
CHASE_Image_09L,CHASE,09L,data\CHASE\target_train\images\Image_09L.jpg,data\CHASE\target_train\masks\Image_09L_mask.png,target_train,target_train
CHASE_Image_09R,CHASE,09R,data\CHASE\target_train\images\Image_09R.jpg,data\CHASE\target_train\masks\Image_09R_mask.png,target_train,target_train
