image_id,dataset,split,native_w,native_h,brightness,contrast,mean_r,mean_g,mean_b,native_vessel_pct,post_resize_vessel_pct,vessel_pct_diff,has_mask
DRIVE_21_training,DRIVE,train,565,584,96.3,62.61,138.73,82.78,54.38,7.473,7.482,0.009,True
DRIVE_22_training,DRIVE,train,565,584,89.03,58.06,144.58,70.32,39.42,9.034,9.029,-0.005,True
DRIVE_23_training,DRIVE,train,565,584,105.96,68.73,172.82,83.77,44.75,6.584,6.634,0.051,True
DRIVE_24_training,DRIVE,train,565,584,102.82,65.91,161.27,83.69,47.76,11.586,11.659,0.073,True
DRIVE_25_training,DRIVE,train,565,584,76.4,49.09,119.92,61.9,36.56,9.598,9.575,-0.023,True
DRIVE_26_training,DRIVE,train,565,584,57.01,35.34,92.57,44.92,25.56,8.356,8.328,-0.029,True
DRIVE_27_training,DRIVE,train,565,584,96.86,62.91,152.15,77.78,49.84,8.811,8.844,0.033,True
DRIVE_28_training,DRIVE,train,565,584,88.03,57.03,120.41,79.41,47.06,9.767,9.811,0.043,True
DRIVE_29_training,DRIVE,train,565,584,67.14,44.17,114.81,49.0,35.24,8.41,8.414,0.004,True
DRIVE_30_training,DRIVE,train,565,584,55.09,33.97,91.74,42.07,25.64,7.845,7.839,-0.006,True
DRIVE_31_training,DRIVE,train,565,584,93.89,62.35,146.37,76.63,44.83,6.03,6.051,0.02,True
DRIVE_32_training,DRIVE,train,565,584,93.87,60.79,137.56,81.24,44.04,8.178,8.131,-0.047,True
DRIVE_33_training,DRIVE,train,565,584,98.22,63.42,144.53,83.73,51.2,8.088,8.105,0.017,True
DRIVE_34_training,DRIVE,train,565,584,79.42,58.93,124.68,66.36,27.66,9.785,9.816,0.03,True
DRIVE_35_training,DRIVE,train,565,584,80.22,53.09,132.54,61.17,40.88,8.671,8.632,-0.039,True
DRIVE_36_training,DRIVE,train,565,584,73.76,48.06,103.65,64.72,41.45,10.875,10.872,-0.004,True
DRIVE_37_training,DRIVE,train,565,584,76.72,50.59,108.03,66.41,47.39,8.741,8.723,-0.017,True
DRIVE_38_training,DRIVE,train,565,584,93.74,60.48,118.91,87.62,58.89,8.63,8.631,0.001,True
DRIVE_39_training,DRIVE,train,565,584,78.23,49.56,120.06,64.91,36.88,8.591,8.57,-0.022,True
DRIVE_40_training,DRIVE,train,565,584,61.12,38.94,91.41,51.87,28.98,7.577,7.547,-0.03,True
DRIVE_01_test,DRIVE,test,565,584,82.61,52.78,117.87,72.66,40.86,,,,False
DRIVE_02_test,DRIVE,test,565,584,99.26,64.06,163.45,77.41,43.26,,,,False
DRIVE_03_test,DRIVE,test,565,584,63.36,38.98,103.49,50.96,21.48,,,,False
DRIVE_04_test,DRIVE,test,565,584,83.36,55.7,134.24,65.85,39.78,,,,False
DRIVE_05_test,DRIVE,test,565,584,76.83,48.67,134.46,56.24,31.43,,,,False
DRIVE_06_test,DRIVE,test,565,584,79.16,50.24,113.09,69.69,38.56,,,,False
DRIVE_07_test,DRIVE,test,565,584,87.72,58.03,144.21,66.61,48.1,,,,False
DRIVE_08_test,DRIVE,test,565,584,83.04,53.93,139.45,62.27,41.8,,,,False
DRIVE_09_test,DRIVE,test,565,584,95.33,61.0,140.47,81.84,46.11,,,,False
DRIVE_10_test,DRIVE,test,565,584,68.98,44.29,110.35,54.49,34.81,,,,False
DRIVE_11_test,DRIVE,test,565,584,94.43,62.42,151.01,73.85,51.66,,,,False
DRIVE_12_test,DRIVE,test,565,584,86.73,55.37,137.98,68.54,45.79,,,,False
DRIVE_13_test,DRIVE,test,565,584,88.68,57.53,123.87,77.79,52.13,,,,False
DRIVE_14_test,DRIVE,test,565,584,88.75,56.35,150.04,67.08,39.56,,,,False
DRIVE_15_test,DRIVE,test,565,584,66.5,45.52,124.87,44.49,26.42,,,,False
DRIVE_16_test,DRIVE,test,565,584,94.14,60.3,143.45,78.84,43.31,,,,False
DRIVE_17_test,DRIVE,test,565,584,101.13,64.68,144.14,89.35,48.63,,,,False
DRIVE_18_test,DRIVE,test,565,584,96.6,62.2,146.4,80.8,47.08,,,,False
DRIVE_19_test,DRIVE,test,565,584,64.34,40.65,97.47,53.06,35.16,,,,False
DRIVE_20_test,DRIVE,test,565,584,79.03,50.28,122.98,63.48,43.47,,,,False
CHASE_Image_01L,CHASE,target_train,999,960,55.61,45.42,101.92,41.15,8.61,6.974,6.98,0.006,True
CHASE_Image_01R,CHASE,target_train,999,960,47.82,40.73,90.36,34.44,5.18,7.595,7.629,0.035,True
CHASE_Image_02L,CHASE,target_train,999,960,63.39,48.83,112.39,48.37,12.26,8.114,8.136,0.021,True
CHASE_Image_02R,CHASE,target_train,999,960,49.45,40.68,91.54,36.45,6.0,7.809,7.774,-0.034,True
CHASE_Image_03L,CHASE,target_train,999,960,58.28,44.56,118.13,37.98,6.03,7.841,7.848,0.008,True
CHASE_Image_03R,CHASE,target_train,999,960,56.2,44.98,112.76,37.26,5.47,7.551,7.5,-0.052,True
CHASE_Image_04L,CHASE,target_train,999,960,56.26,44.47,114.26,36.7,4.96,7.838,7.835,-0.003,True
CHASE_Image_04R,CHASE,target_train,999,960,59.32,44.69,123.0,37.21,6.25,7.698,7.695,-0.003,True
CHASE_Image_05L,CHASE,target_train,999,960,73.08,52.75,147.28,47.82,8.62,7.918,7.937,0.018,True
CHASE_Image_05R,CHASE,target_train,999,960,70.07,50.65,146.63,43.58,5.79,8.515,8.539,0.024,True
CHASE_Image_06L,CHASE,target_train,999,960,52.22,44.89,96.14,38.68,6.8,7.574,7.567,-0.007,True
CHASE_Image_06R,CHASE,target_train,999,960,47.44,37.86,91.49,33.33,4.66,7.483,7.504,0.021,True
CHASE_Image_07L,CHASE,target_train,999,960,64.03,48.99,125.52,43.56,8.24,7.789,7.793,0.004,True
CHASE_Image_07R,CHASE,target_train,999,960,61.76,46.95,123.82,40.75,7.27,7.608,7.645,0.036,True
CHASE_Image_08L,CHASE,target_train,999,960,48.0,44.25,79.83,39.48,8.34,6.468,6.437,-0.031,True
CHASE_Image_08R,CHASE,target_train,999,960,42.13,37.03,73.09,33.47,5.51,6.354,6.367,0.013,True
CHASE_Image_09L,CHASE,target_train,999,960,80.33,59.46,162.05,53.01,6.66,5.06,5.064,0.004,True
